kps 0.3
kis 0.7

kpp 30
kip 120
kdp 0.5

pitch set point, pitch, speed set point, speed, filtered speed
0.53, 0.45, 0.00, -0.50, -0.21
0.53, 0.42, 0.00, -1.00, -0.21
0.53, 0.38, 0.00, -1.50, -0.22
0.54, 0.42, 0.00, -1.00, -0.23
0.55, 0.46, 0.00, -0.50, -0.25
0.55, 0.46, 0.00, -1.00, -0.27
0.56, 0.62, 0.00, 0.00, -0.30
0.57, 0.62, 0.00, 0.00, -0.31
0.57, 0.56, 0.00, 0.50, -0.33
0.57, 0.61, 0.00, 0.50, -0.33
0.57, 0.59, 0.00, 0.00, -0.33
0.57, 0.53, 0.00, 0.00, -0.32
0.57, 0.53, 0.00, 0.00, -0.31
0.57, 0.53, 0.00, 0.00, -0.30
0.57, 0.52, 0.00, -0.50, -0.29
0.57, 0.51, 0.00, -1.00, -0.28
0.57, 0.48, 0.00, -1.00, -0.28
0.57, 0.50, 0.00, -0.50, -0.29
0.57, 0.56, 0.00, -1.00, -0.30
0.58, 0.56, 0.00, -0.50, -0.31
0.58, 0.54, 0.00, -0.50, -0.32
0.59, 0.68, 0.00, -0.50, -0.33
0.59, 0.71, 0.00, 0.00, -0.34
0.59, 0.73, 0.00, 0.00, -0.35
0.59, 0.67, 0.00, 0.50, -0.36
0.59, 0.67, 0.00, 0.00, -0.35
0.59, 0.67, 0.00, 0.50, -0.34
0.59, 0.67, 0.00, 0.50, -0.33
0.58, 0.68, 0.00, 1.00, -0.31
0.58, 0.66, 0.00, 0.50, -0.28
0.57, 0.64, 0.00, 1.00, -0.24
0.56, 0.63, 0.00, 1.00, -0.20
0.54, 0.63, 0.00, 0.00, -0.16
0.53, 0.61, 0.00, 0.00, -0.12
0.52, 0.62, 0.00, 0.00, -0.08
0.51, 0.62, 0.00, 0.00, -0.05
0.50, 0.58, 0.00, 0.50, -0.02
0.49, 0.59, 0.00, 0.00, 0.01
0.48, 0.57, 0.00, 0.00, 0.04
0.48, 0.57, 0.00, 0.50, 0.06
0.47, 0.55, 0.00, 0.50, 0.09
0.46, 0.55, 0.00, 0.50, 0.11
0.45, 0.54, 0.00, 0.00, 0.13
0.45, 0.52, 0.00, 1.00, 0.16
0.44, 0.52, 0.00, 0.00, 0.18
0.43, 0.47, 0.00, 0.00, 0.20
0.43, 0.47, 0.00, 0.50, 0.22
0.42, 0.48, 0.00, 0.00, 0.23
0.42, 0.49, 0.00, 0.00, 0.24
0.41, 0.47, 0.00, 1.00, 0.25
0.41, 0.47, 0.00, 0.00, 0.27
0.40, 0.47, 0.00, 0.50, 0.28
0.40, 0.47, 0.00, 0.00, 0.29
0.40, 0.45, 0.00, 0.50, 0.29
0.39, 0.45, 0.00, 1.00, 0.30
0.39, 0.41, 0.00, 0.50, 0.31
0.39, 0.40, 0.00, 0.00, 0.33
0.38, 0.42, 0.00, 0.50, 0.34
0.38, 0.39, 0.00, 0.00, 0.34
0.38, 0.39, 0.00, 0.00, 0.35
0.38, 0.41, 0.00, 0.00, 0.35
0.38, 0.42, 0.00, 0.00, 0.35
0.38, 0.42, 0.00, 0.50, 0.34
0.38, 0.43, 0.00, 0.50, 0.34
0.38, 0.44, 0.00, 0.50, 0.34
0.37, 0.36, 0.00, 0.50, 0.34
0.37, 0.36, 0.00, 0.50, 0.34
0.37, 0.28, 0.00, 0.00, 0.34
0.37, 0.25, 0.00, 0.00, 0.34
0.37, 0.28, 0.00, -0.50, 0.33
0.37, 0.27, 0.00, -1.00, 0.32
0.38, 0.26, 0.00, 0.00, 0.30
0.38, 0.26, 0.00, -0.50, 0.28
0.39, 0.25, 0.00, -1.00, 0.25
0.40, 0.25, 0.00, 0.00, 0.22
0.41, 0.23, 0.00, -2.00, 0.18
0.43, 0.22, 0.00, -1.00, 0.14
0.44, 0.20, 0.00, -1.00, 0.09
